Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"You Light Up My Life","LeAnn Rimes","You Light Up My Life: Inspirational Songs","All","Playlist","USCRB9700016","74003208"
"IN YOUR EYES","李大輝","COMPLETE WITH YOU - EP","All","Playlist","KRA252200052","1604378218"
"Mikansei","家入レオ","Mikansei - Single","All","Playlist","JPVI01904610","1494833659"
"Winter","家入レオ","Naked","All","Playlist","JPVI02204449","1668708078"
"Usotsuki","家入レオ","Usotsuki - Single","All","Playlist","JPVI02204326","1661269095"
"Kimiga Kureta Natsu","家入レオ","We","All","Playlist","JPVI01524330","1124863475"
"More Than I Can Say","Leo Sayer","The Gold Collection","All","Playlist","GBBLG8000340","1326571414"
"By My Side","Leroy Sanchez","By My Side - Single","All","Playlist","USUM71500099","1445160111"
"M3","Les Apollo","M3 - Single","All","Playlist","QZTBF2336377","1807298895"
"Someone You Loved","Lewis Capaldi","Divinely Uninspired To A Hellish Extent","All","Playlist","DEUM71807062","1452619054"
"Aitai","Lilas Ikuta","Aitai - Single","All","Playlist","JPU902002606","1535022612"
"スパークル","Lilas Ikuta","スパークル - Single","All","Playlist","JPP302102013","1602544173"
"ヒカリ","Lilas Ikuta","ヒカリ - Single","All","Playlist","JPP302000705","1543594895"
"If there was practice in love","Lim Jae Hyun","If there was practice in love - Single","All","Playlist","KRA381801304","1684467058"
"I'm a Little Drunk","Lim Jae Hyun","I'm a Little Drunk - Single","All","Playlist","KRA381904291","1684466052"
"Don't Know Much (with Aaron Neville)","Linda Ronstadt","Cry Like a Rainstorm, Howl Like the Wind","All","Playlist","USEE11400247","872635072"
"Just Smile","LiQWYD","Just Smile - Single","All","Playlist","QZHPJ2006709","1517119166"
"Memories","LiQWYD","Memories - Single","All","Playlist","QZHZD2088976","1528814901"
"Shine","LiQWYD","Shine - Single","All","Playlist","QZNWV2105050","1591564597"
"HADASHi NO STEP","LiSA","HADASHi NO STEP - Single","All","Playlist","JPU902101730","1574890884"
"HELLO WORLD","LiSA","HELLO WORLD - Single","All","Playlist","JPU902304391","1729363455"
"homura","LiSA","homura - EP","All","Playlist","JPU902002290","1531847485"
"crossing field","LiSA","LANDSPACE","All","Playlist","JPE301201741","1538284654"
"シルシ","LiSA","Launcher","All","Playlist","JPE301401152","1538284883"
"Gurenge","LiSA","LEO-NiNE","All","Playlist","JPU901900905","1529543135"
"Unlasting","LiSA","LEO-NiNE","All","Playlist","JPU901902352","1529543503"
"Catch the Moment","LiSA","LiTTLE DEViL PARADE","All","Playlist","JPE301601123","1538285606"
"Saikai (produced by Ayase)","LiSA & Uru","Saikai (produced by Ayase) - Single","All","Playlist","JPU902002777","1537406658"
"Flushing Meadows","Living Room","Flushing Meadows - Single","All","Playlist","GBPS83869848","1808650034"
"Party Rock Anthem (feat. Lauren Bennett & GoonRock) [Mixed]","LMFAO","Clubland Party (DJ Mix)","All","Playlist","US23A9665612","1849795410"
"One Night","Lockbox","One Night - Single","All","Playlist","QZMHK2399113","1682860847"
"Afterlife","Lockbox & Rachel Leycroft","Afterlife - Single","All","Playlist","USA2P2249072","1708970946"
"Longer Than I Thought (feat. Joe Jonas)","Loote","single.","All","Playlist","USUM71806746","1396104930"
"High Without Your Love","Loote","single.","All","Playlist","USUM71703644","1396104933"
"Open Arms","Los Chick","Cities: Skylines - Campus Radio","All","Playlist","SE6CZ2200209","1640424835"
"I Miss The Future (feat. Jordan Shaw)","Lost Kings","I Miss The Future (feat. Jordan Shaw) - Single","All","Playlist","USRC12101103","1567279490"
"Broken In All The Right Places (feat. MOD SUN)","Lost Kings","It's Not You, It's Me","All","Playlist","USRC12103357","1597831394"
"Ocean","Lost Wolves & glasscat","Underneath the Waves - EP","All","Playlist","USA2P2112356","1561415634"
"Hold On","Lost Wolves & glasscat","Underneath the Waves - EP","All","Playlist","USA2P2109787","1561415638"
"No","Louane","Louane (Deluxe)","All","Playlist","FRUM71701717","1441424242"
"Baptism of Fire (CliqTrack Remix)","Louise Penman & Cliqtrack","Cytus II-Paff (Original Soundtrack)","All","Playlist","TCADS1871640","1414690156"
"Faster Car","Loving Caliber","Chemicals - EP","All","Playlist","SE5Q51700756","1478115261"
"I Wanna Stay Here with You (feat. Sarah Pumphrey)","Loving Caliber","Fire Line","All","Playlist","SE5Q51815095","1474422859"
"Left in the Rain","Loving Caliber","Kill the Lights","All","Playlist","SE5Q52002300","1555698240"
"Dive into You","Loving Caliber","Kill the Lights","All","Playlist","SE5Q52003008","1555698243"
"The Light","Loving Caliber & Ooyy","The Light - Single","All","Playlist","SE5Q52100299","1567180769"
"A Penguin in the Forest (feat. Yokkorio)","盧律銘","派樂黛G8 二元對立","All","Playlist","TWW532220001","1649966376"
"Someone Else","Ludvigsson & Jorm","Someone Else - Single","All","Playlist","QMBZ92069458","1535460250"
"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio","Beethoven Orchestra London","Beethoven: Symphony No. 5 in C Minor, Op. 67","All","Playlist","SIB131200013","527572579"
"7 Years","Lukas Graham","Lukas Graham","All","Playlist","USWB11506516","1081573445"
"Love Someone","Lukas Graham","3 (The Purple Album)","All","Playlist","USWB11801984","1435336327"
"Check this out (feat. Hatsune Miku)","*Luna","Check this out (feat. Hatsune Miku) - Single","All","Playlist","JP92Q2200432","1636665522"
"ΔV (feat. ゆある)","*Luna","ΔV (feat. ゆある) - Single","All","Playlist","JP92N2287297","1661526210"
"8.32","*Luna","Dream of Lazurite","All","Playlist","JPE561905510","1460366254"
"透明 (feat. ねんね)","*Luna","透明 (feat. ねんね) - Single","All","Playlist","JP92N2309558","1672524882"
"Attract Light","*Luna & 鏡音レン","Nobody","All","Playlist","JP92Q2301481","1694251962"
"Si on disait","M. Pokora","Si on disait - Single","All","Playlist","FRP432000030","1533149388"
"Body Talk","M2U","Cytus II-Paff (Original Soundtrack)","All","Playlist","TCADS1871623","1414689249"
"The Rain Drop (feat. EunoH)","M2U","Diversity.","All","Playlist","JPPO01703586","1440891359"
"Yoakeno Uta (feat. Dazbee)","M2U","Diversity.","All","Playlist","JPPO01703592","1440891845"
"獅子舞 (feat. Pica)","M2U","獅子舞 (feat. Pica) - Single","All","Playlist","QZTAS2256358","1650731912"
"Your Love (feat. Matt Cab)","MACO","23","All","Playlist","JPPO01407461","1443001833"
"I Was Made For Loving You","Madilyn","I Was Made For Loving You - Single","All","Playlist","GBDMT1500264","1032117084"
"Too Good at Goodbyes","Madilyn","Too Good at Goodbyes - Single","All","Playlist","TCADL1859844","1337776255"
"Wiser","Madilyn","Wiser EP","All","Playlist","QM24S1650068","1126688829"
"Green Grass Song","The Magpies","Cities: Skylines Country Road Radio","All","Playlist","SE6CZ1900609","1463759802"
"I Want You Back","The Magpies","Cities: Skylines Country Road Radio","All","Playlist","SE6CZ1900611","1463759805"
"Round and Round We Go","The Magpies","Cities: Skylines Country Road Radio","All","Playlist","SE6CZ1900613","1463759807"
"La même (feat. Vianney)","GIMS","Ceinture noire","All","Playlist","FR9W11803167","1482646941"
"Inferno Star","Majiko","Inferno Star - Single","All","Playlist","JPPO02200114","1616748875"
"My Nonfiction","Makoto Furukawa & Chika Fujiwara(CV:Konomi Kohara)","My Nonfiction - Single","All","Playlist","JPE302200476","1618918925"
"A Little Louder","Man Cub","Before It Gets Better","All","Playlist","NLRD52257933","1697874699"
"Good Enough (feat. JEN)","Man Cub","Impressions","All","Playlist","GBKQU2046900","1732585679"
"In a Dream (feat. SVRCINA)","Man Cub","Impressions","All","Playlist","GBLV61909656","1732585687"
"Sure Thing","Man Cub & SVRCINA","Impressions","All","Playlist","GBKQU1913822","1732585682"
"Wrong to Let You Go","Man Cub, APEK & April Bender","Impressions","All","Playlist","GBKQU2033772","1732585676"
"Breathe in the Moment","Man Cub, APEK & HALIENE","Impressions","All","Playlist","GBKQU1991945","1732585686"
"I'll Find You","Man Cub, Rickie Nolls & Kyle Reynolds","I'll Find You - Single","All","Playlist","GBKQU2145884","1732565362"
